foodtype,menu,language,location,day,source,price
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2025/03/baschly-lunch-special-jan-2025-03-17-kosher-.jpg,
Tagesuppe,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,laut Tagesaushang,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Planted Paprikageschnetzeltes | Spätzle A,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Selchfleischknödel | Sauerkraut | Kümmelsaft G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,"Selchfleischknödel | Sauerkraut | Kümmelsaft G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rosso Rinder Bolognese Aufpreis",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Puten Gyros Pita | Tsatsiki | Tomaten,Gurken,Zwiebel,K raut | Wedges A,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Cremesuppe vom Frühlingslauch A,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Cremesuppe vom Frühlingslauch A,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Veganer Faschierter Braten | Bärlauch- Kartoffelpüree | Jus | Röstzwiebel A,F,H,M,P",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Naturschnitzel vom Schwein | Erbsenreis | Natursaft A,L,M,F",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,"Naturschnitzel vom Schwein | Erbsenreis | Natursaft A,L,M,F",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
