foodtype,menu,language,location,day,source,price
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Tagesuppe,FEIERTAG,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,laut Tagesaushang,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Meaty,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"A,G,L,H",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
